Date,Clicks,Impressions,CTR,Position
2025-10-06,2,170,1.18%,28.7
2025-10-07,1,223,0.45%,27.7
2025-10-08,3,181,1.66%,28.5
2025-10-09,3,190,1.58%,32.9
2025-10-10,0,239,0%,33.4
2025-10-11,1,179,0.56%,28.4
2025-10-12,2,166,1.2%,21.6
2025-10-13,3,169,1.78%,25.9
2025-10-14,1,218,0.46%,29
2025-10-15,2,194,1.03%,29.9
2025-10-16,3,188,1.6%,24.7
2025-10-17,0,146,0%,30.4
2025-10-18,2,171,1.17%,31.3
2025-10-19,2,178,1.12%,27.7
2025-10-20,3,195,1.54%,24.8
2025-10-21,3,219,1.37%,27
2025-10-22,3,267,1.12%,20
2025-10-23,0,250,0%,20.2
2025-10-24,3,124,2.42%,18.3
2025-10-25,2,194,1.03%,30
2025-10-26,0,211,0%,23.3
2025-10-27,1,219,0.46%,27.9
2025-10-28,1,208,0.48%,25.4
2025-10-29,1,215,0.47%,24.3
2025-10-30,1,177,0.56%,27.3
2025-10-31,0,179,0%,30.9
2025-11-01,0,181,0%,32.9
2025-11-02,8,254,3.15%,30.3
2025-11-03,0,227,0%,34.3
2025-11-04,2,214,0.93%,26.9
2025-11-05,1,233,0.43%,40.7
2025-11-06,3,226,1.33%,33.6
2025-11-07,0,199,0%,29.8
2025-11-08,1,183,0.55%,42
2025-11-09,0,1130,0%,81.7
2025-11-10,2,569,0.35%,87.4
2025-11-11,3,225,1.33%,28.3
2025-11-12,2,276,0.72%,29.1
2025-11-13,1,211,0.47%,34.4
2025-11-14,2,217,0.92%,29.7
2025-11-15,3,168,1.79%,34.9
2025-11-16,0,219,0%,30.6
2025-11-17,2,225,0.89%,27.3
2025-11-18,1,215,0.47%,30
2025-11-19,3,233,1.29%,27.9
2025-11-20,2,221,0.9%,32.1
2025-11-21,1,144,0.69%,35.7
2025-11-22,0,207,0%,30.2
2025-11-23,3,170,1.76%,23.9
2025-11-24,3,289,1.04%,20.8
2025-11-25,4,244,1.64%,25.9
2025-11-26,5,253,1.98%,28.8
2025-11-27,1,218,0.46%,30.1
2025-11-28,0,190,0%,32
2025-11-29,2,152,1.32%,32.1
2025-11-30,1,211,0.47%,32.6
2025-12-01,4,277,1.44%,22.1
2025-12-02,2,233,0.86%,29.2
2025-12-03,3,242,1.24%,28.5
2025-12-04,1,182,0.55%,26.4
2025-12-05,1,200,0.5%,35.2
2025-12-06,1,201,0.5%,35.5
2025-12-07,1,210,0.48%,28.9
2025-12-08,3,266,1.13%,24.4
2025-12-09,1,289,0.35%,28.5
2025-12-10,5,272,1.84%,26.9
2025-12-11,0,258,0%,26.5
2025-12-12,3,276,1.09%,25.9
2025-12-13,0,227,0%,32.4
2025-12-14,1,255,0.39%,29
2025-12-15,2,281,0.71%,24.7
2025-12-16,3,331,0.91%,28.2
2025-12-17,2,205,0.98%,28.8
2025-12-18,3,270,1.11%,35.9
2025-12-19,0,218,0%,36
2025-12-20,0,164,0%,32.4
2025-12-21,2,246,0.81%,33.2
2025-12-22,1,196,0.51%,29
2025-12-23,0,225,0%,37.7
2025-12-24,1,196,0.51%,34.2
2025-12-25,0,193,0%,35.3
2025-12-26,1,173,0.58%,32.8
2025-12-27,1,179,0.56%,34.7
2025-12-28,0,201,0%,30.4
2025-12-29,2,207,0.97%,28.8
2025-12-30,1,221,0.45%,32.9
2025-12-31,1,167,0.6%,33.1
2026-01-01,0,213,0%,28.1
2026-01-02,2,206,0.97%,28.8
2026-01-03,1,189,0.53%,30.6
2026-01-04,2,227,0.88%,28.3
2026-01-05,1,232,0.43%,25.4
2026-01-06,2,220,0.91%,24.1
2026-01-07,7,293,2.39%,25.7
2026-01-08,4,284,1.41%,24.8
2026-01-09,1,276,0.36%,28.7
2026-01-10,1,240,0.42%,31.8
2026-01-11,1,253,0.4%,28.6
2026-01-12,3,282,1.06%,28.4
2026-01-13,1,262,0.38%,25.7
2026-01-14,5,257,1.95%,29.8
2026-01-15,2,222,0.9%,20.6
2026-01-16,2,346,0.58%,32.8
2026-01-17,0,201,0%,37.1
2026-01-18,3,312,0.96%,25.5
2026-01-19,4,270,1.48%,27.9
2026-01-20,4,260,1.54%,28
2026-01-21,2,240,0.83%,27.5
2026-01-22,2,306,0.65%,30.2
2026-01-23,2,180,1.11%,33.5
2026-01-24,1,229,0.44%,34.6
2026-01-25,2,211,0.95%,24.4
2026-01-26,4,224,1.79%,20.6
2026-01-27,1,250,0.4%,21.2
2026-01-28,3,218,1.38%,21.6
2026-01-29,4,170,2.35%,17.8
2026-01-30,0,287,0%,23.9
2026-01-31,2,201,1%,25.7
2026-02-01,4,238,1.68%,22.4
2026-02-02,1,243,0.41%,23.1
2026-02-03,1,204,0.49%,19.8
2026-02-04,1,228,0.44%,19.7
2026-02-05,0,238,0%,22.5
2026-02-06,0,132,0%,22.4
2026-02-07,1,279,0.36%,21.3
2026-02-08,4,321,1.25%,13
2026-02-09,2,244,0.82%,23
2026-02-10,5,273,1.83%,22.7
2026-02-11,5,354,1.41%,21.8
2026-02-12,2,270,0.74%,20.9
2026-02-13,0,225,0%,25
2026-02-14,0,209,0%,27.5
2026-02-15,3,413,0.73%,20.7
2026-02-16,4,331,1.21%,24.1
2026-02-17,4,288,1.39%,24.1
2026-02-18,2,367,0.54%,16.7
2026-02-19,2,355,0.56%,21.1
2026-02-20,3,272,1.1%,25.4
2026-02-21,2,257,0.78%,29.2
2026-02-22,1,310,0.32%,23
2026-02-23,3,322,0.93%,20.2
2026-02-24,2,271,0.74%,21
2026-02-25,4,359,1.11%,22.4
2026-02-26,1,357,0.28%,20.9
2026-02-27,2,317,0.63%,25.7
2026-02-28,2,280,0.71%,27.3
2026-03-01,4,337,1.19%,26.4
2026-03-02,2,380,0.53%,24.5
2026-03-03,1,375,0.27%,30.4
2026-03-04,3,398,0.75%,25
2026-03-05,1,331,0.3%,26
